Age,Gender,Occupation,Daily_AI_Usage_Hours,AI_Usage_Purpose,Specialization,AI_Tools_Used,AI_Usage_Frequency,AI_Skill_Level,Device_Used,Data_Privacy_Concern,AI_Trust_Level,Location,Language_Preference,Internet_Speed,AI_Usage_Change_in_6_Months,Uses_Paid_AI_Tools,Satisfaction_Level,Can_Live_Without_AI,Task_Complexity,Time_to_Respond_Seconds,Performance (%)
39,Female,Researcher,5,Daily Life,Art,Notion AI,Sometimes,Beginner,Mobile,High,Low,Suburban,French,Fast,Same,No,7,No,2,47,65
63,Male,Doctor,0,Health,Medicine,Other,Sometimes,Beginner,Laptop,Low,Moderate,Suburban,French,Slow,Increased,Yes,1,Yes,4,90,73
34,Female,Freelancer,2,,Law,Copilot,Sometimes,Intermediate,Tablet,Low,High,Suburban,English,Medium,Increased,No,8,No,2,24,83
25,,Engineer,2,,Education,Notion AI,Rarely,Advanced,Tablet,Low,Low,Suburban,French,Medium,Increased,Yes,3,Yes,3,57,78
44,,Teacher,35,Study,Education,Bard,Sometimes,Intermediate,Desktop,High,Moderate,Rural,French,Slow,Increased,Yes,8,No,2,33,63
34,Male,Teacher,9,,Business,Notion AI,Often,Intermediate,Laptop,Medium,Low,Suburban,Spanish,Slow,Same,Yes,1,Yes,2,50,67
39,,Doctor,5,Daily Life,Art,Midjourney,Rarely,Advanced,Desktop,Medium,Low,Rural,English,Slow,Increased,Yes,4,Yes,2,30,83
19,Female,Doctor,11,Daily Life,Engineering,Other,Often,Beginner,Mobile,Low,Low,Rural,French,Medium,Decreased,No,4,Yes,2,36,63
52,Male,Researcher,1,Health,Medicine,Bard,Often,Beginner,Desktop,Medium,,Rural,Spanish,,Increased,Yes,6,No,3,59,80
45,,Freelancer,1,Entertainment,Engineering,Bard,Rarely,Advanced,Desktop,High,High,Rural,Arabic,Medium,Same,No,10,No,2,45,67
32,Male,Engineer,5,Health,Engineering,Midjourney,Sometimes,Beginner,Mobile,High,Moderate,Rural,Spanish,Fast,Same,No,8,No,4,101,60
38,,Student,6,Shopping,Medicine,Bard,Rarely,Advanced,Laptop,Medium,Moderate,Suburban,Arabic,Medium,Increased,No,4,Yes,2,32,65
62,,Researcher,9,Shopping,Law,Midjourney,Rarely,Beginner,Mobile,Low,Low,Urban,Arabic,Fast,Same,No,10,No,2,21,87
63,Male,Doctor,11,Health,Computer Science,ChatGPT,Often,Intermediate,Mobile,Medium,,Rural,French,Medium,Same,No,2,Yes,4,85,77
40,,Student,4,Health,Medicine,Copilot,Daily,Beginner,Tablet,Low,High,Urban,Spanish,Slow,Same,Yes,4,Yes,2,39,65
26,Female,Designer,12,Work,Medicine,Notion AI,Rarely,Intermediate,Desktop,High,High,Suburban,Arabic,Slow,Same,No,10,No,2,20,85
34,,Unemployed,11,Entertainment,Education,Bard,,Intermediate,Laptop,Medium,Low,Suburban,French,Slow,Decreased,No,9,No,2,27,87
57,Male,Unemployed,4,Work,Business,ChatGPT,Daily,Beginner,Mobile,Low,High,Rural,English,Slow,Decreased,No,7,No,2,45,65
53,Male,Engineer,2,Shopping,,Midjourney,Rarely,Beginner,Tablet,High,Moderate,Suburban,Arabic,Fast,Decreased,No,1,Yes,3,63,65
61,Female,Researcher,11,Entertainment,Art,ChatGPT,,Beginner,Desktop,Medium,Moderate,Suburban,Spanish,Slow,Same,Yes,4,Yes,2,38,63
61,,Student,8,Daily Life,Business,Midjourney,Sometimes,Advanced,Tablet,Medium,Low,Suburban,Spanish,Slow,Decreased,Yes,4,Yes,1,18,83
21,Female,Student,3,Daily Life,Art,Bard,Daily,Intermediate,,Low,Moderate,Urban,Spanish,Medium,Same,Yes,10,No,1,29,83
40,Male,Unemployed,11,Daily Life,Medicine,Notion AI,Sometimes,Advanced,Tablet,Low,High,Rural,Spanish,Medium,Decreased,Yes,1,Yes,1,23,83
46,Female,Freelancer,8,Daily Life,Art,Other,Daily,Beginner,Tablet,High,High,Rural,English,Fast,Decreased,No,2,Yes,2,43,67
40,,Teacher,7,Daily Life,Business,Copilot,Often,Beginner,Desktop,Low,Low,Rural,Spanish,Slow,Increased,Yes,8,No,2,21,83
54,,Unemployed,4,Daily Life,Business,Notion AI,Often,Intermediate,Laptop,Low,Moderate,Suburban,Spanish,Fast,Decreased,Yes,1,Yes,1,15,83
49,,Unemployed,5,Health,Art,Copilot,Often,,Laptop,Medium,Moderate,Urban,French,Slow,Same,No,4,Yes,2,29,87
51,,Teacher,11,Shopping,Business,Midjourney,Rarely,Beginner,Tablet,High,Moderate,Suburban,Spanish,Fast,Same,No,9,No,2,44,67
37,Female,Teacher,8,Health,Business,Bard,,Advanced,Laptop,High,Low,Urban,English,Medium,Same,Yes,4,Yes,3,45,78
31,,Student,3,Entertainment,Engineering,Bard,Rarely,Intermediate,Desktop,Low,High,Urban,Arabic,Slow,Increased,Yes,10,No,2,25,83
60,Female,Unemployed,3,Shopping,Education,Other,Sometimes,Intermediate,Tablet,Medium,Moderate,Rural,Arabic,Slow,Same,Yes,4,Yes,2,40,63
18,,Researcher,4,Health,Medicine,Midjourney,Sometimes,Beginner,Laptop,High,High,Urban,English,Medium,Same,Yes,7,No,3,65,63
34,Female,Engineer,12,Daily Life,Business,Other,Often,Advanced,Desktop,Medium,Low,Rural,French,Medium,Decreased,Yes,6,No,2,40,65
38,Male,Doctor,8,Shopping,Business,Bard,Daily,Intermediate,Laptop,High,Moderate,Rural,English,Slow,Increased,Yes,8,No,3,79,67
27,Male,Doctor,8,Health,Law,Bard,Rarely,Intermediate,Mobile,Low,Low,Suburban,Spanish,Fast,Decreased,No,7,No,4,119,63
31,,Student,0,Shopping,Law,Copilot,,Beginner,Desktop,Low,High,Suburban,Spanish,Fast,Same,No,8,No,2,48,65
49,,Student,9,Entertainment,Engineering,Bard,Sometimes,Advanced,Mobile,High,Moderate,Rural,French,Medium,Decreased,Yes,10,No,2,50,67
44,Female,Teacher,3,Health,Engineering,Midjourney,Rarely,Intermediate,Mobile,Medium,Low,Rural,French,Medium,Decreased,No,10,No,3,46,83
61,Female,Doctor,2,Shopping,Law,Other,Often,Beginner,Tablet,Low,Low,Suburban,Arabic,,Increased,No,7,No,3,50,77
30,Female,Designer,11,Work,Art,Midjourney,Often,Advanced,Tablet,High,Low,Rural,Arabic,Fast,Decreased,Yes,4,Yes,2,39,63
51,Female,Teacher,8,Daily Life,Art,,Often,Intermediate,Laptop,Medium,Moderate,Urban,Spanish,Fast,Increased,No,5,Yes,2,32,63
43,Female,Unemployed,5,Work,Medicine,ChatGPT,Rarely,Intermediate,Tablet,Medium,Moderate,Urban,Spanish,Slow,Decreased,Yes,1,Yes,2,20,87
54,Female,Engineer,11,Work,Art,Notion AI,Rarely,Intermediate,Desktop,Medium,Low,Suburban,French,Medium,Increased,No,5,Yes,3,79,65
54,Female,Doctor,2,Entertainment,Education,Notion AI,Sometimes,Beginner,Laptop,Medium,High,Urban,Spanish,Slow,Decreased,No,1,Yes,3,48,78
22,Female,Student,8,Entertainment,Engineering,,Sometimes,Intermediate,Desktop,Medium,Moderate,Rural,Spanish,Fast,Same,No,9,No,2,22,83
21,Male,Student,10,Health,Business,Copilot,Sometimes,Advanced,Mobile,Low,,Urban,English,Fast,Decreased,Yes,9,No,2,39,63
58,,Designer,11,Study,Computer Science,Other,Daily,Intermediate,Mobile,Medium,Moderate,Urban,French,Medium,Decreased,Yes,1,Yes,2,48,63
58,Female,Researcher,5,Study,Art,Notion AI,Often,Intermediate,Desktop,High,Low,Urban,French,Slow,Increased,Yes,5,Yes,2,42,63
62,,Freelancer,7,Shopping,Art,Midjourney,Rarely,Intermediate,Desktop,Low,High,Suburban,English,Medium,Decreased,No,5,Yes,2,33,67
25,,Unemployed,5,Entertainment,Art,Midjourney,Daily,Beginner,Laptop,Medium,Moderate,Urban,English,Medium,Decreased,No,10,No,2,44,67
48,Female,Doctor,5,Study,Medicine,Bard,,Beginner,Desktop,Low,High,Suburban,Arabic,Medium,Same,Yes,1,Yes,3,54,80
26,Male,Freelancer,1,Study,Education,Copilot,Rarely,Advanced,Tablet,High,Moderate,Rural,Spanish,Slow,Increased,No,5,Yes,2,47,67
41,Male,Teacher,6,Study,Law,Copilot,Rarely,Intermediate,Laptop,Medium,High,Rural,Spanish,Fast,Decreased,Yes,8,No,2,35,63
22,Male,Doctor,9,Work,,Copilot,Rarely,,Mobile,Medium,Low,Urban,Spanish,Fast,Increased,Yes,7,No,3,48,83
45,,Doctor,5,Shopping,Art,ChatGPT,Daily,Advanced,Desktop,High,Low,Suburban,English,Fast,Increased,Yes,9,No,3,73,63
45,Female,Doctor,2,Health,Engineering,Other,Sometimes,Intermediate,Mobile,Medium,High,Suburban,English,Medium,Increased,Yes,8,No,4,119,60
149,Male,Freelancer,4,Study,Engineering,Midjourney,Daily,Advanced,Laptop,Low,Low,Urban,English,Medium,Same,Yes,10,No,2,43,63
58,,Freelancer,7,Health,Art,ChatGPT,Daily,Intermediate,Tablet,High,Moderate,Suburban,English,Medium,Same,Yes,3,Yes,3,59,80
31,Male,Freelancer,10,Work,Education,ChatGPT,Often,Intermediate,Mobile,Medium,High,Suburban,Spanish,Slow,Increased,No,4,Yes,2,43,63
35,,Freelancer,3,Health,Engineering,ChatGPT,Daily,Beginner,,Medium,Low,Suburban,French,Medium,Same,No,4,Yes,3,54,83
18,Female,Researcher,1,Entertainment,Computer Science,Midjourney,,Intermediate,Tablet,Low,Moderate,Rural,English,Medium,Same,Yes,5,Yes,2,22,83
29,Female,Doctor,3,Daily Life,Business,Other,Sometimes,Beginner,Laptop,Low,High,Rural,Arabic,Slow,Decreased,No,3,Yes,2,48,65
55,Female,Designer,8,Shopping,Art,Other,Daily,Advanced,Tablet,High,High,Suburban,French,Fast,Same,Yes,4,Yes,2,50,67
23,Female,Student,9,Work,Computer Science,Copilot,Daily,Beginner,Laptop,Low,High,Rural,English,Medium,Increased,Yes,4,Yes,2,44,63
19,,Designer,6,Shopping,Education,Bard,,Intermediate,Desktop,Medium,Low,Urban,Spanish,Slow,Same,Yes,3,Yes,2,36,67
64,Male,Student,12,Work,Medicine,ChatGPT,Rarely,Intermediate,Laptop,Medium,High,Rural,Arabic,Medium,Increased,No,1,Yes,2,44,67
55,Female,Unemployed,1,Entertainment,Engineering,Other,Often,Intermediate,Laptop,Low,High,Suburban,French,Slow,Increased,No,9,No,2,39,65
21,Male,Engineer,4,Daily Life,Law,Copilot,Often,Advanced,Desktop,High,Moderate,Rural,Arabic,Medium,Decreased,Yes,9,No,2,20,83
52,,Student,3,Work,Business,Midjourney,Daily,Intermediate,Desktop,Low,Low,Rural,French,Fast,Decreased,No,10,No,2,50,65
19,Female,Doctor,10,Daily Life,Engineering,Midjourney,Daily,Beginner,Tablet,High,Low,Urban,Spanish,Slow,Increased,Yes,6,No,2,38,63
55,Female,Student,10,Study,Business,ChatGPT,Sometimes,Beginner,,High,High,Rural,English,Slow,Increased,No,1,Yes,2,21,87
57,Female,Student,9,Daily Life,Business,Notion AI,Daily,Beginner,Mobile,Medium,Low,Suburban,French,Fast,Increased,No,9,No,1,25,83
25,Female,Unemployed,5,Work,Medicine,Bard,Sometimes,Beginner,Tablet,High,Moderate,Urban,French,Fast,Increased,Yes,3,Yes,2,49,63
42,Female,Designer,39,Daily Life,Medicine,Notion AI,Daily,,Mobile,High,Low,Rural,Spanish,Medium,Decreased,Yes,4,Yes,2,37,67
61,Female,Freelancer,9,Entertainment,Engineering,Midjourney,Sometimes,Advanced,Tablet,Low,Low,Rural,Spanish,Fast,Decreased,Yes,6,No,2,43,65
50,Male,Unemployed,11,Shopping,Art,ChatGPT,Often,Advanced,Laptop,High,High,Suburban,French,Medium,Decreased,Yes,1,Yes,2,50,67
29,,Doctor,3,Entertainment,Art,Notion AI,Daily,Advanced,Laptop,High,Moderate,Urban,Spanish,Fast,Increased,Yes,5,Yes,3,65,65
58,Male,Engineer,7,Work,Education,Notion AI,Rarely,Intermediate,Desktop,High,High,Suburban,French,Slow,Decreased,No,5,Yes,3,63,67
36,,Student,3,Entertainment,Engineering,Midjourney,Daily,Beginner,Laptop,Low,Low,Suburban,French,Medium,Increased,No,3,Yes,2,43,63
64,Male,Engineer,12,,Engineering,Notion AI,Rarely,Intermediate,Mobile,Low,High,Urban,Arabic,Medium,Same,No,2,Yes,3,47,77
19,,Doctor,11,Work,Business,Midjourney,Daily,Beginner,Desktop,Low,High,Urban,Spanish,Medium,Same,Yes,9,No,3,59,80
56,,Unemployed,6,Entertainment,Art,Midjourney,Often,Advanced,Tablet,High,Low,Suburban,Arabic,Fast,Same,No,3,Yes,2,39,67
43,Female,Teacher,3,Study,Computer Science,Other,Sometimes,Intermediate,Tablet,High,High,Rural,Spanish,Fast,Increased,Yes,6,No,2,22,85
34,Female,Researcher,9,Daily Life,Medicine,Other,Sometimes,Beginner,Laptop,Medium,Moderate,Rural,Arabic,Medium,Same,Yes,7,No,2,27,87
38,,Freelancer,6,Shopping,Medicine,ChatGPT,Often,Beginner,Desktop,Medium,Low,Suburban,French,Slow,Increased,No,5,Yes,2,34,63
57,Female,Teacher,0,Work,Education,Copilot,Sometimes,Intermediate,Laptop,Medium,High,Rural,French,Medium,Increased,Yes,3,Yes,2,32,63
57,Male,Freelancer,11,Shopping,Medicine,Other,Often,Beginner,,Medium,High,Suburban,French,Medium,Decreased,Yes,2,Yes,2,33,67
57,Male,Unemployed,5,Study,Law,ChatGPT,Rarely,Intermediate,Laptop,Medium,High,Urban,Spanish,Fast,Decreased,Yes,8,No,2,25,85
59,Female,Designer,9,Shopping,Medicine,Midjourney,Daily,Intermediate,Tablet,Medium,Moderate,Rural,Spanish,Medium,Decreased,Yes,10,No,2,48,67
26,Male,Engineer,11,Work,Education,Midjourney,Sometimes,Beginner,Desktop,Low,High,Rural,Arabic,Fast,Decreased,No,5,Yes,3,52,78
45,Female,Doctor,1,Shopping,Law,Notion AI,Often,,Laptop,Low,Moderate,Urban,Arabic,Fast,Decreased,No,6,No,3,65,63
33,,Unemployed,4,Health,Medicine,Bard,Daily,Intermediate,Mobile,High,Moderate,Urban,English,Slow,Increased,Yes,5,Yes,2,36,67
55,Male,Designer,5,Work,Computer Science,Copilot,Sometimes,Intermediate,Tablet,Low,Moderate,Urban,French,,Decreased,No,5,Yes,2,28,87
39,Male,Doctor,10,Work,Education,Other,Rarely,Intermediate,Tablet,Medium,High,Urban,English,Medium,Same,No,5,Yes,3,48,83
63,Female,Doctor,1,Work,Law,Copilot,Daily,,Desktop,High,Moderate,Rural,English,Medium,Decreased,Yes,5,Yes,3,40,80
54,Male,Researcher,0,Study,Education,Midjourney,Rarely,Advanced,Desktop,High,Low,Rural,Spanish,Fast,Same,No,3,Yes,2,41,63
35,Male,Teacher,3,Shopping,Law,Copilot,Sometimes,Intermediate,Laptop,Low,Moderate,Urban,English,Medium,Increased,No,1,Yes,2,43,63
51,Male,Researcher,1,Shopping,Art,Copilot,Rarely,Advanced,,Low,Low,Rural,English,Slow,Decreased,Yes,9,No,2,34,63
49,Male,Engineer,0,Study,Medicine,Midjourney,Often,Beginner,Laptop,High,High,Urban,Arabic,Fast,Same,No,6,No,3,71,67
60,Female,Doctor,2,Work,Education,Other,Often,Beginner,Laptop,Low,Low,Rural,Spanish,Slow,Increased,No,10,No,3,69,63
28,Male,Unemployed,1,Study,Business,Midjourney,Daily,Intermediate,Tablet,Medium,Low,Urban,English,Medium,Decreased,No,6,No,2,37,65
52,,Freelancer,2,Health,Education,Midjourney,Daily,Intermediate,Tablet,Medium,High,Suburban,Spanish,Medium,Same,No,7,No,3,59,83
34,Female,Freelancer,5,Entertainment,Medicine,Copilot,Daily,,Desktop,Medium,High,Suburban,English,Fast,Decreased,No,1,Yes,2,35,63
60,Male,Teacher,10,Daily Life,Art,Midjourney,Daily,Intermediate,Tablet,Medium,Low,Rural,English,Medium,Increased,No,3,Yes,2,22,87
52,Female,Freelancer,2,Shopping,Medicine,Bard,,Advanced,Tablet,High,Low,Urban,French,Slow,Same,No,7,No,2,35,67
37,,Engineer,6,Health,Law,Midjourney,Often,Beginner,Laptop,Medium,Moderate,Urban,French,Slow,Decreased,Yes,7,No,4,119,63
44,Male,Student,5,Entertainment,Computer Science,Midjourney,Often,Intermediate,Desktop,Low,Moderate,Urban,Spanish,Slow,Increased,No,8,No,2,43,67
54,Male,Student,12,Daily Life,Engineering,Midjourney,Rarely,Advanced,Laptop,Medium,Moderate,Urban,English,Medium,Decreased,Yes,4,Yes,1,12,87
47,Female,Doctor,8,Health,Engineering,Bard,Often,Advanced,Laptop,High,Low,Suburban,Arabic,Fast,Decreased,Yes,6,No,4,87,75
63,Male,Unemployed,10,Daily Life,Art,Bard,Often,Intermediate,Mobile,Low,High,Rural,English,Medium,Same,No,9,No,1,25,87
27,Female,Doctor,11,Daily Life,Art,Midjourney,Daily,Advanced,Mobile,Medium,Low,Rural,French,Fast,Same,No,5,Yes,2,28,85
25,Male,Teacher,6,Study,Law,Notion AI,Rarely,Intermediate,Desktop,Medium,Moderate,Rural,Spanish,Slow,Decreased,Yes,9,No,2,50,67
27,Male,Doctor,3,Daily Life,Computer Science,Bard,Daily,Intermediate,Tablet,Low,High,Suburban,English,Fast,Decreased,No,3,Yes,2,22,83
44,,Engineer,1,Shopping,Business,Notion AI,Often,Intermediate,Tablet,High,High,Suburban,Arabic,Fast,Same,No,6,No,3,87,63
31,Male,Engineer,4,Work,Medicine,Other,Rarely,Intermediate,Tablet,Low,Low,Suburban,Spanish,Fast,Increased,No,5,Yes,3,73,67
44,Male,Student,9,Study,Computer Science,ChatGPT,Sometimes,Advanced,Tablet,High,Low,Rural,French,Slow,Same,Yes,2,Yes,2,22,85
34,,Researcher,2,Entertainment,Medicine,Notion AI,Rarely,Intermediate,Desktop,High,Low,Rural,French,Slow,Decreased,No,4,Yes,2,43,63
27,Male,Doctor,2,Health,Education,Copilot,Rarely,Advanced,Mobile,Low,Moderate,Urban,English,Medium,Increased,Yes,7,No,4,101,60
40,Male,Teacher,4,Daily Life,Engineering,Bard,Sometimes,Intermediate,Desktop,Low,High,Urban,English,Fast,Decreased,No,5,Yes,2,37,67
53,Female,Doctor,9,Health,Business,Bard,Daily,,Tablet,High,High,Urban,French,Slow,Decreased,Yes,9,No,4,120,63
21,,Designer,8,Entertainment,Engineering,Bard,Rarely,Beginner,Desktop,Medium,Low,Suburban,English,Fast,Increased,Yes,10,No,2,37,65
34,Male,Unemployed,11,Work,Medicine,Notion AI,Rarely,Intermediate,Desktop,High,Moderate,Suburban,Spanish,Medium,Decreased,No,2,Yes,2,32,67
40,Male,Doctor,10,Entertainment,Business,Notion AI,Daily,Intermediate,Laptop,High,Moderate,Suburban,Arabic,Medium,Increased,Yes,10,No,3,89,61
24,Female,Doctor,10,Work,Medicine,Other,Rarely,Beginner,Laptop,Medium,High,Suburban,Arabic,Slow,Same,No,10,No,3,75,63
54,Female,Unemployed,1,Entertainment,Education,Copilot,Sometimes,Advanced,Mobile,Medium,Low,Rural,French,,Same,Yes,3,Yes,2,39,65
18,Male,Doctor,12,Shopping,Medicine,ChatGPT,Daily,Beginner,,Low,Low,Urban,English,Fast,Increased,Yes,5,Yes,3,62,67
44,,Researcher,7,Work,Business,Bard,Sometimes,Intermediate,Mobile,High,Low,Rural,Spanish,Slow,Decreased,No,5,Yes,2,28,83
30,Male,Student,9,Shopping,Law,Bard,Rarely,Advanced,Laptop,Low,Low,Urban,English,Slow,Same,Yes,9,No,2,33,65
28,Male,Unemployed,9,Health,Education,Copilot,Often,,Desktop,High,Low,Suburban,English,Medium,Same,No,8,No,2,25,85
35,Male,Unemployed,5,Daily Life,Education,ChatGPT,Daily,Beginner,Desktop,Medium,High,Urban,Arabic,Medium,Decreased,No,8,No,1,24,87
48,,Engineer,3,Work,Medicine,ChatGPT,Often,Beginner,,Medium,High,Urban,English,Slow,Increased,Yes,4,Yes,3,56,80
44,Male,Engineer,10,Study,Business,Bard,Daily,Advanced,Tablet,Medium,Moderate,Suburban,Arabic,Fast,Decreased,Yes,9,No,3,56,78
47,Male,Doctor,7,Daily Life,Art,ChatGPT,Often,Intermediate,Laptop,Medium,High,Rural,Arabic,Medium,Increased,No,6,No,2,38,63
62,,Engineer,12,Entertainment,Medicine,ChatGPT,Sometimes,Intermediate,Laptop,High,Low,Urban,French,Medium,Increased,No,10,No,3,82,63
21,,Teacher,12,Shopping,Business,Copilot,Daily,,Laptop,Medium,Moderate,Suburban,Arabic,Fast,Increased,No,10,No,2,48,67
49,Male,Student,9,Health,Law,Midjourney,Rarely,Intermediate,Laptop,High,Moderate,Rural,English,Fast,Same,Yes,9,No,2,41,63
40,Female,Unemployed,8,Work,Medicine,ChatGPT,Rarely,Advanced,Desktop,High,Low,Urban,Arabic,Slow,Increased,No,10,No,2,28,83
52,Male,Designer,9,Entertainment,Business,Notion AI,Often,Intermediate,Laptop,Low,High,Urban,Arabic,Slow,Decreased,No,10,No,2,37,67
58,,Engineer,4,Study,Business,ChatGPT,Sometimes,Intermediate,,High,Low,Rural,English,Slow,Increased,Yes,1,Yes,3,73,63
42,Female,Doctor,0,Work,Engineering,ChatGPT,Daily,Beginner,Mobile,High,Low,Suburban,Spanish,Slow,Decreased,Yes,10,No,3,47,83
44,Male,Teacher,7,Work,Art,Copilot,Daily,Advanced,Laptop,High,Low,Urban,English,Slow,Same,No,2,Yes,2,50,65
33,Male,Teacher,7,Daily Life,Art,Other,Often,Beginner,Laptop,Low,High,Urban,French,Medium,Increased,Yes,9,No,2,50,63
40,Female,Doctor,10,Study,Medicine,Other,Sometimes,Beginner,Desktop,High,High,Suburban,French,Medium,Increased,No,10,No,3,48,77
59,Female,Engineer,0,Work,Law,Bard,Rarely,Intermediate,Tablet,High,High,Rural,Arabic,Medium,Same,Yes,1,Yes,3,75,65
38,,Researcher,7,Entertainment,Education,Bard,Often,Intermediate,Mobile,Low,Moderate,Urban,English,Slow,Decreased,No,8,No,2,31,63
25,Male,Teacher,0,Health,Education,Bard,Rarely,Intermediate,Tablet,High,High,Rural,French,Fast,Decreased,No,8,No,3,73,61
27,,Unemployed,4,Daily Life,Medicine,Midjourney,Daily,Intermediate,Tablet,Low,Low,Urban,French,Slow,Increased,Yes,1,Yes,1,10,83
42,,Researcher,4,Work,Art,Midjourney,Sometimes,Beginner,Mobile,High,Low,Urban,Arabic,Fast,Same,No,4,Yes,2,34,63
23,Female,Designer,5,Daily Life,Engineering,Other,Rarely,Advanced,Laptop,Low,Moderate,Urban,English,Medium,Same,Yes,4,Yes,2,40,63
50,Female,Doctor,12,Entertainment,Art,Notion AI,Daily,Intermediate,Desktop,Medium,Low,Urban,Arabic,Fast,Same,Yes,1,Yes,3,67,63
57,Female,Designer,5,Health,Medicine,ChatGPT,Daily,Intermediate,Tablet,Medium,Moderate,Rural,Arabic,Slow,Decreased,No,4,Yes,3,57,83
